date,actual,prediction,error,abs_error,ape_percent
2023-04-11,65314.0,66116.09896664837,802.0989666483656,802.0989666483656,1.2280659072302502
2023-04-12,63244.0,66161.69016688027,2917.690166880275,2917.690166880275,4.613386513946422
2023-04-13,67687.0,60837.72540773276,-6849.27459226724,6849.27459226724,10.119039981484244
2023-04-14,66310.0,65306.79411754478,-1003.2058824552223,1003.2058824552223,1.5129028539514737
2023-04-15,81305.0,76969.566398275,-4335.4336017250025,4335.4336017250025,5.332308716222867
2023-04-16,76201.0,78132.9875718227,1931.9875718226976,1931.9875718226976,2.535383488172987
2023-04-17,67828.0,66757.62334298796,-1070.3766570120351,1070.3766570120351,1.5780749204046045
2023-04-18,66476.0,65871.29394646725,-604.7060535327473,604.7060535327473,0.9096607099295193
2023-04-19,56680.0,66653.42665802033,9973.426658020326,9973.426658020326,17.596024449577143
2023-04-21,57354.0,63176.46610409215,5822.466104092149,5822.466104092149,10.151804763559907
2023-04-22,72631.0,75278.69439859941,2647.694398599415,2647.694398599415,3.6454054034770484
2023-04-23,74873.0,77690.01263095015,2817.01263095015,2817.01263095015,3.762387817971966
2023-04-24,63870.0,67178.91269341146,3308.912693411461,3308.912693411461,5.180699379069143
2023-04-25,62971.0,66293.1266854201,3322.126685420095,3322.126685420095,5.275645432691389
2023-04-26,63382.0,65059.77899466285,1677.7789946628473,1677.7789946628473,2.647090648232696
2023-04-27,65910.0,60196.52436446708,-5713.475635532923,5713.475635532923,8.668602086986683
2023-04-28,59071.0,64406.15756223645,5335.157562236447,5335.157562236447,9.031771194387172
2023-04-29,75652.0,74146.06645140558,-1505.9335485944175,1505.9335485944175,1.9906063932142142
2023-04-30,82582.0,77990.73754774599,-4591.262452254014,4591.262452254014,5.559640662921718
2023-05-01,81183.0,68377.97254437419,-12805.027455625808,12805.027455625808,15.773040483384214
2023-05-02,75789.0,68735.04581017123,-7053.954189828772,7053.954189828772,9.307358838127923
2023-05-03,68953.0,68000.2489340078,-952.7510659921973,952.7510659921973,1.3817398314680975
2023-05-04,64707.0,62938.68548072043,-1768.314519279571,1768.314519279571,2.73280250866146
2023-05-05,59849.0,63330.1332044404,3481.133204440397,3481.133204440397,5.816526933516679
2023-05-06,76392.0,76358.60975710383,-33.39024289617373,33.39024289617373,0.0437090832759631
2023-05-07,74876.0,78417.7153043632,3541.715304363199,3541.715304363199,4.730107516912227
2023-05-08,65904.0,69920.16101206765,4016.1610120676487,4016.1610120676487,6.093956379078127
2023-05-09,65237.0,68572.14963007676,3335.1496300767612,3335.1496300767612,5.112358983516656
2023-05-10,61510.0,66122.33937248628,4612.3393724862835,4612.3393724862835,7.4985195455800415
2023-05-11,67853.0,62721.74544024237,-5131.254559757632,5131.254559757632,7.562310523864283
2023-05-12,71763.0,65919.25297748737,-5843.747022512631,5843.747022512631,8.143119744872191
2023-05-13,87007.0,77834.58835478293,-9172.411645217071,9172.411645217071,10.542153671793155
